game;id;hours;last_played;metascore;userscore;wilsonscore;sdbrating;userscore_count;number_of_players
8Bit Fiesta - The Drinking Game;382260;;;;92;90;86;604;4
Aegis Defenders;371140;;;76;77;71;71;148;2
Aeolis Tournament;1097770;1.3;;;89;78;76;39;8
Age of Empires II (Retired);221380;28.15;;68;95;95;94;81945;8
Age of Empires II: Definitive Edition;813780;5.95;;84;94;94;93;128009;8
Alien Swarm: Reactive Drop;563560;1.2666666666666666;;;94;94;92;21384;8
Among Us;945360;10.633333333333333;;85;92;92;91;602164;15
Apex Legends™;1172470;;;88;77;77;77;836893;60
ARK: Survival Evolved;346110;;;70;83;83;82;520940;3
Awesomenauts - the 2D moba;204300;;;78;84;84;82;26638;0
BattleBlock Theater®;238460;6.166666666666667;;85;97;97;95;53442;4
BlazeRush;302710;3.1666666666666665;;66;88;86;83;889;4
Blazing Beaks;585710;0.38333333333333336;;;85;84;81;1853;4
Bloody Trapland;257750;3.7333333333333334;;;82;81;79;2716;4
Bloons TD 6;960090;;;;97;97;96;275379;4
Boomerang Fu;965680;;;;97;96;91;1173;6
Bopl Battle;1686940;;;;96;96;93;8090;4
Borderlands 3;397540;;;81;85;85;84;103557;4
Borderlands Game of the Year Enhanced;729040;;;;86;85;84;12356;4
Brawlhalla;291550;0.8166666666666667;;;82;82;81;366024;8
Broforce;274190;0.8333333333333334;;83;97;97;95;46010;4
Brothers - A Tale of Two Sons;225080;;;90;94;94;92;33373;2
Castle Crashers®;204360;16.4;;;96;96;94;83060;4
Cat Quest II;914710;;;76;95;94;91;4435;2
Chariot;319450;;;76;83;79;77;272;2
Charlie Murder;405290;;;;95;94;90;1811;4
Chivalry: Medieval Warfare;219640;30.466666666666665;;79;83;83;82;45034;0
Chronicon;375480;;;;94;94;91;8278;4
Circle Empires Rivals;1100260;10.75;;;89;88;85;1334;4
CMYW;396590;0.6;;;78;63;68;28;4
Company of Heroes 2;231430;;;80;80;80;79;63999;0
Cook, Serve, Delicious! 2!!;386620;;;62;90;89;86;1998;2
Counter-Strike 2;730;61;;;87;87;87;8114075;0
Crawl;293780;6.083333333333333;;;95;94;92;5179;4
Crimsonland;262830;0.2;;68;94;93;89;1922;4
Crypt of the NecroDancer;247080;;;87;95;95;93;21353;2
CRYPTARK;344740;;;80;83;81;79;869;2
Cuphead;268910;0.2;;88;96;96;95;144682;2
Day of Defeat;30;0.36666666666666664;;79;87;86;84;4064;0
Deathmatch Classic;40;;;;81;80;78;2134;0
Deathtrap;310510;;;77;84;82;80;1727;4
Deep Rock Galactic;548430;0.6166666666666667;;85;97;97;96;236056;4
Destiny 2;1085660;;;83;80;80;79;603468;6
Die for Valhalla!;606000;0.2;;;70;62;65;94;4
Door Kickers: Action Squad;686200;8.066666666666666;;;95;95;92;8043;2
DRAGON BALL FighterZ;678950;;;85;85;;;;2
Drawful 2;442070;;;;91;89;85;755;8
Dreadlands;1054690;;;;59;52;57;131;2
Duck Game;312530;12.166666666666666;;82;97;97;95;24200;8
Dungeon Defenders;65800;;;81;93;93;90;10766;4
Dungeon of the ENDLESS™;249050;;;;88;87;86;9128;4
Dungeons 3;493900;12.533333333333333;;75;94;94;91;12133;2
